index,project,noOfBedRoom,propertyType,district,rent,mean_areaSqft,lat,long,rentCategory
544,D'GALLERY,3,Private Condominium,14.0,3700.0,1000.0,1.319943017091296,103.91205002392664,Low
545,D'HIRO@HILLSIDE,3,Private Condominium,19.0,3800.0,1150.0,1.360086364265047,103.87471882322686,Low
548,D'LEEDON,3,Private Condominium,10.0,7542.261904761905,1402.3809523809523,1.3163451663516448,103.8044305908044,Extreme
551,D'MIRA,3,Private Condominium,12.0,4825.0,1250.0,1.327579019025728,103.84977660953852,Average
555,D'NEST,3,Private Condominium,18.0,4320.0,990.0,1.3701680676473438,103.94629916392331,Low
562,D'WEAVE,3,Private Condominium,14.0,4266.666666666667,1050.0,1.31561167745812,103.890526544333,Low
565,DAHLIA PARK CONDOMINIUM,3,Private Condominium,17.0,4120.0,1270.0,1.3589900484465112,103.9651021985198,Low
568,DAINTREE RESIDENCE,3,Private Condominium,21.0,6050.0,1100.0,1.3397614886012934,103.7708735954354,High
571,DAKOTA RESIDENCES,3,Private Condominium,14.0,6850.0,1350.0,1.306416313014028,103.88714085469168,Extreme
573,DAWN VILLE,3,Private Condominium,15.0,3800.0,1200.0,1.312462483365427,103.89463865190368,Low
574,DE CASALLE,3,Private Condominium,15.0,4100.0,1150.0,1.310143131541912,103.91541834205152,Low
575,DE LENTE,3,Private Condominium,10.0,5500.0,950.0,1.3118401583767174,103.80176858918422,High
578,DE ROYALE,3,Private Condominium,12.0,4300.0,1250.0,1.3283109469547916,103.84917043536052,Low
585,DOMAIN 21,3,Private Condominium,3.0,6000.0,1250.0,1.2917598410980018,103.82556268065532,High
593,DOUBLE BAY RESIDENCES,3,Private Condominium,18.0,5210.909090909091,1304.5454545454545,1.3407731262487677,103.95628855484722,Average
596,DOVER PARKVIEW,3,Private Condominium,5.0,5262.5,1300.0,1.3061530897606548,103.78439851200956,High
599,DUCHESS CREST,3,Private Condominium,10.0,7150.0,1450.0,1.3247511056080614,103.80305486528404,Extreme
601,DUCHESS MANOR,3,Private Condominium,10.0,5350.0,1050.0,1.3243519439183344,103.80759814364204,High
602,DUCHESS RESIDENCES,3,Private Condominium,10.0,7700.0,1450.0,1.3240967181496006,103.8015067664008,Extreme
604,DUET,3,Private Condominium,10.0,7408.0,1750.0,1.3113713259210835,103.80430046691308,Extreme
605,DUKES RESIDENCE,3,Private Condominium,10.0,7000.0,1750.0,1.3215601189260018,103.81169740962947,Extreme
607,DUNMAN PLACE,3,Private Condominium,15.0,5000.0,1300.0,1.3099291316857835,103.89581806887028,Average
608,DUNMAN VIEW,3,Private Condominium,15.0,5150.0,1250.0,1.3100360995968288,103.89712045398475,Average
611,DUO RESIDENCES,3,Private Condominium,7.0,10400.0,1550.0,1.299088314912934,103.85777873100864,Extreme
613,E MAISON,3,Private Condominium,13.0,4200.0,1250.0,1.344163103099047,103.86877011775933,Low
