propertyType,y,x
Private Condominium,31299.57676,34169.92989
Private Condominium,31299.57676,34169.92989
Private Condominium,43073.40922,35445.74582
Private Condominium,43073.40922,35445.74582
Private Condominium,43073.40922,35445.74582
Private Condominium,31159.70585,35134.1529
Private Condominium,31159.70585,35134.1529
Private Condominium,34517.96521,25716.46145
Private Condominium,34517.96521,25716.46145
Private Condominium,34517.96521,25716.46145
Private Condominium,39061.07589,27408.1618
Private Condominium,39061.07589,27408.1618
Private Condominium,33198.83576,29448.48812
Private Condominium,33198.83576,29448.488120000005
Private Condominium,33198.83576,29448.48812
Private Condominium,38709.48911,32574.44359
Private Condominium,38709.48911,32574.44359
Private Condominium,38709.48911,32574.44359
Private Condominium,34386.18688,31409.87862
Private Condominium,34386.18688,31409.87862
Private Condominium,30331.84689,26813.753930000003
Private Condominium,30324.01509,26398.11396
Private Condominium,30324.01509,26398.11396
Private Condominium,30324.01509,26398.11396
Private Condominium,30386.644989999997,25101.41659
Private Condominium,30386.64499,25101.41659
Private Condominium,30386.64499,25101.41659
Private Condominium,33571.15902,22124.00824
Private Condominium,33571.15902,22124.00824
Private Condominium,28575.571820000005,29232.25178
Private Condominium,28575.57182,29232.25178
Private Condominium,28575.57182,29232.25178
Private Condominium,34106.86742,28832.4878
Private Condominium,36875.15686,31692.94585
Private Condominium,36875.15686,31692.94585
Private Condominium,32999.87343,28967.161689999997
Private Condominium,32999.87343,28967.161689999997
Private Condominium,32999.87343,28967.16169
Private Condominium,31625.17316,35553.98376
Private Condominium,31625.17316,35553.98376
Private Condominium,31520.23453,35519.45211
Private Condominium,31520.23453,35519.45211
Private Condominium,31323.738029999997,35201.40713
Private Condominium,31323.73803,35201.40713
Private Condominium,34259.69442,29983.73804
Private Condominium,31779.75217,27538.66452
Private Condominium,31779.75217,27538.66452
Private Condominium,33490.01484,29428.84566
Private Condominium,35516.59993,39388.54476
Private Condominium,35516.59993,39388.54476
Executive Condominium,36954.92942,38654.97768
Executive Condominium,36954.92942,38654.97768
Private Condominium,35628.83532,37788.03892
Private Condominium,35628.83532,37788.03892
Private Condominium,35628.83532,37788.03892
Private Condominium,35628.83532,37788.03892
Private Condominium,35628.83532,37788.03892
Private Condominium,32446.85078,27347.897220000003
Private Condominium,32534.290989999998,27582.07465
Private Condominium,32495.43929,27479.48862
Private Condominium,32311.40818,27484.02178
Private Condominium,31233.53367,34079.70857
Private Condominium,31233.53367,34079.70857
Private Condominium,30277.95039,26209.55579
Private Condominium,30277.95039,26209.55579
Private Condominium,30381.32701,26174.6258
Private Condominium,30381.32701,26174.6258
Private Condominium,30381.32701,26174.6258
Private Condominium,30796.174940000004,28757.43322
Private Condominium,30796.174940000004,28757.43322
Private Condominium,30796.17494,28757.43322
Private Condominium,30796.17494,28757.43322
Private Condominium,33015.82738,35936.09727
Private Condominium,32906.76696,34369.72732
Private Condominium,32906.76696,34369.72732
Private Condominium,33405.03996,21683.0944
Private Condominium,33405.03996,21683.0944
Private Condominium,33717.358,36740.88848
Private Condominium,33717.358,36740.88848
Private Condominium,33024.3667,33850.28866
Private Condominium,33024.3667,33850.28866
Private Condominium,32822.55594,33848.82415
Private Condominium,32822.55594,33848.82415
Private Condominium,32579.31826,36110.67431
Private Condominium,32579.31826,36110.67431
Private Condominium,32509.78596,37205.53765
Private Condominium,32509.78596,37205.53765
Private Condominium,32509.78596,37205.53765
Executive Condominium,40256.87536,35528.7455
Executive Condominium,40256.87536,35528.7455
Executive Condominium,40256.87536,35528.7455
Private Condominium,33837.47233,30059.9759
Private Condominium,32774.53264,27537.69089
Private Condominium,32774.53264,27537.69089
Private Condominium,32875.94868,33467.59038
Private Condominium,32875.94868,33467.59038
Private Condominium,28810.22407,27604.53008
Private Condominium,28810.22407,27604.53008
Private Condominium,28810.22407,27604.53008
Private Condominium,38032.01622,42682.34096
Private Condominium,38032.01622,42682.34096
Private Condominium,38032.01622,42682.34096
Private Condominium,35703.89988,32048.97685
Private Condominium,32675.8175,38079.22857
Private Condominium,38043.39218,42455.5747
Private Condominium,33642.01129,41520.76649
Private Condominium,34210.61977,29908.97503
Private Condominium,33873.62654,30067.46735
Private Condominium,34178.20033,30045.42542
Private Condominium,37824.1928,43008.20008
Private Condominium,37824.1928,43008.20008
Private Condominium,32984.98488,27866.79519
Private Condominium,33132.01384,28085.31785
Private Condominium,33273.19339,28124.72474
Private Condominium,33056.90396,28118.22775
Private Condominium,33170.92509,27431.68206
Private Condominium,33215.94103,28170.17996
Private Condominium,33199.6387,28248.78222
Private Condominium,33135.88538,28251.04963
Private Condominium,33223.49376,28040.962149999996
Private Condominium,32946.86699,33752.25642
Private Condominium,36107.96465,33255.1991
Private Condominium,36107.96465,33255.1991
Private Condominium,36107.96465,33255.1991
Private Condominium,36107.96465,33255.1991
Private Condominium,35907.22218,33366.28382
Private Condominium,35907.22218,33366.28382
Private Condominium,35907.22218,33366.28382
Private Condominium,36487.90556,33216.13819
Private Condominium,32555.7238,39654.985
Private Condominium,32555.7238,39654.985
Private Condominium,32555.7238,39654.985
Private Condominium,32555.723799999996,39654.985
Private Condominium,32555.7238,39654.985
Private Condominium,29281.21422,22924.2792
Private Condominium,29281.214220000005,22924.2792
Private Condominium,35501.64104,39032.54664
Private Condominium,35501.64104,39032.54664
Private Condominium,35501.64104,39032.54664
Private Condominium,34280.92645,31214.28372
Private Condominium,34280.92645,31214.283719999996
Private Condominium,34280.92645,31214.28372
Private Condominium,32329.45291,27054.77728
Private Condominium,32329.45291,27054.77728
Private Condominium,36000.91021,21646.3197
Private Condominium,33141.89706,21621.41964
Private Condominium,33141.89706,21621.41964
Private Condominium,33752.59664,40387.42462
Private Condominium,33752.59664,40387.42462
Private Condominium,34050.38409,38633.05071
Private Condominium,34050.38409,38633.05071
Private Condominium,34050.38409,38633.05071
Private Condominium,32675.329840000002,34847.26714
Private Condominium,32675.32984,34847.26714
Private Condominium,31002.57633,28948.49393
Private Condominium,31002.57633,28948.49393
Private Condominium,31002.57633,28948.49393
Private Condominium,33245.07207,27684.09238
Private Condominium,33245.07207,27684.09238
Executive Condominium,45905.57023,24367.19737
Private Condominium,32126.94842,35657.42881
Private Condominium,33152.89056,27816.10557
Private Condominium,33935.58474,30000.55934
Executive Condominium,39493.82221,39959.04951
Private Condominium,32444.99871,36457.35332
Private Condominium,28808.08032,23364.34511
Private Condominium,28808.08032,23364.34511
Private Condominium,33326.95825,29295.37764
Private Condominium,36834.92805,29533.17646
Private Condominium,36834.92805,29533.17646
Executive Condominium,36550.59541,30143.47773
Private Condominium,38714.79397,27730.39722
Private Condominium,38714.79397,27730.39722
Private Condominium,37961.01369,27938.244090000004
Private Condominium,31190.703,27013.68984
Private Condominium,31190.703,27013.68984
Private Condominium,33950.88013,30191.64564
Private Condominium,38321.27584,33625.71977
Private Condominium,38321.27584,33625.71977
Private Condominium,38321.27584,33625.71977
Private Condominium,32392.48356,24577.1378
Executive Condominium,41310.75604,20983.51444
Executive Condominium,41310.75604,20983.51444
Private Condominium,35383.73325,31987.32045
Private Condominium,35383.73325,31987.32045
Private Condominium,35383.73325,31987.32045
Private Condominium,31126.65365,20400.82976
Private Condominium,31126.65365,20400.82976
Private Condominium,40184.85869,42432.60649
Private Condominium,40184.85869,42432.60649
Private Condominium,40230.49656,42541.35514
Private Condominium,39771.12397,35697.0686
Private Condominium,39771.12397,35697.0686
Private Condominium,39771.12397,35697.0686
Private Condominium,34447.15731,29899.86315
Private Condominium,37093.28334,28922.83293
Private Condominium,37093.28334,28922.83293
Private Condominium,32282.898109999995,26546.22292
Private Condominium,32328.439729999995,26515.18941
Private Condominium,32613.47326,26289.86043
Private Condominium,32453.37499,25190.19618
Private Condominium,36074.49852,33438.51947
Private Condominium,36074.49852,33438.51947
Private Condominium,36074.49852,33438.51947
Private Condominium,33450.04841,19233.15404
Private Condominium,33450.04841,19233.15404
Private Condominium,33450.04841,19233.15404
Private Condominium,31912.98919,27356.9046
Private Condominium,31912.98919,27356.9046
Private Condominium,31912.989190000004,27356.904599999998
Private Condominium,31722.88765,27516.748349999998
Private Condominium,38075.13532,32437.7781
Private Condominium,33402.32325,28855.620940000004
Private Condominium,33349.02963,28774.20904
Private Condominium,33349.02963,28774.20904
Private Condominium,33349.02963,28774.20904
Private Condominium,41583.60898,28241.68025
Private Condominium,41583.60898,28241.68025
Private Condominium,31612.56419,30151.75611
Private Condominium,31612.56419,30151.75611
Private Condominium,31612.56419,30151.75611
Private Condominium,31612.56419,30151.75611
Private Condominium,32707.98946,34820.66215
Private Condominium,32707.98946,34820.66215
Private Condominium,32771.32321,34888.62446
Private Condominium,32156.85963,28673.93051
Private Condominium,32156.859630000003,28673.930509999995
Private Condominium,32023.40759,28605.78646
Private Condominium,32023.40759,28605.78646
Private Condominium,32023.40759,28605.786459999996
Private Condominium,32023.40759,28605.78646
Private Condominium,31749.38198,28451.97413
Private Condominium,31749.38198,28451.97413
Private Condominium,31749.38198,28451.97413
Private Condominium,32140.64052,28385.37004
Private Condominium,32140.64052,28385.37004
Private Condominium,32140.64052,28385.37004
Private Condominium,32272.0765,28589.68572
Private Condominium,32272.0765,28589.68572
Private Condominium,33994.51459,30335.50628
Private Condominium,32440.19426,36509.8755
Private Condominium,37468.98539,32794.84273
Private Condominium,32838.39496,29564.9125
Private Condominium,31122.9699,32742.891870000003
Private Condominium,32564.24534,33170.59273
Private Condominium,47387.20962,27083.96194
Private Condominium,47387.20962,27083.961939999997
Private Condominium,47387.20962,27083.961939999997
Private Condominium,32933.84237,32441.23391
Private Condominium,32700.08514,32586.22372
Private Condominium,32586.10058,36067.78532
Private Condominium,24831.10095,28711.7739
Private Condominium,24831.100949999996,28711.773899999997
Private Condominium,33289.77673,19433.82678
Private Condominium,33289.77673,19433.82678
Private Condominium,37445.08376,31619.87138
Private Condominium,37445.08376,31619.87138
Private Condominium,27773.58873,25923.9246
Private Condominium,27773.58873,25923.9246
Private Condominium,27773.58873,25923.9246
Private Condominium,37936.90837,42581.89939
Private Condominium,37936.90837,42581.89939
Private Condominium,37936.90837,42581.89939
Private Condominium,32743.004,33746.62688
Private Condominium,32743.004,33746.62688
Private Condominium,32262.325419999997,28702.999460000003
Private Condominium,37351.55882,32777.03529
Private Condominium,37351.55882,32777.03529
Private Condominium,32704.33297,33989.40421
Private Condominium,35184.22606,22430.13633
Private Condominium,35184.22606,22430.13633
Private Condominium,34515.8734,29682.9951
Private Condominium,34515.8734,29682.9951
Private Condominium,34534.00683,40496.79424
Private Condominium,34534.00683,40496.79424
Private Condominium,34534.00683,40496.79424
Private Condominium,34782.40606,31728.33945
Private Condominium,32379.12762,28515.36374
Private Condominium,40160.36546,42513.93329
Private Condominium,36428.79903,33085.01148
Private Condominium,33682.02642,36223.58622
Private Condominium,33975.3831,24252.23803
Private Condominium,45760.38319,22694.58583
Private Condominium,45760.38319,22694.58583
Private Condominium,33066.4509,39195.05957
Private Condominium,33066.4509,39195.05957
Private Condominium,36395.83582,42531.64256
Private Condominium,34523.17026,36370.67859
Private Condominium,39523.24916,20728.54272
Private Condominium,39169.05617,20733.34161
Private Condominium,39169.05617,20733.34161
Private Condominium,36112.03742,15225.2845
Private Condominium,36112.03742,15225.2845
Private Condominium,36112.03742,15225.2845
Private Condominium,32583.97207,33924.8347
Private Condominium,40900.87079,28778.12569
Private Condominium,40900.87079,28778.125690000004
Private Condominium,40900.87079,28778.12569
Private Condominium,31084.77719,32553.132
Private Condominium,32582.49809,31106.75918
Private Condominium,32113.61821,28843.55299
Private Condominium,32113.61821,28843.55299
Private Condominium,32113.61821,28843.55299
Private Condominium,31976.2386,28791.95673
Private Condominium,32236.79425,28808.06326
Private Condominium,32053.79332,28838.62952
Private Condominium,33224.81912,21627.08831
Private Condominium,33224.81912,21627.08831
Private Condominium,33000.73583,35917.43922
Private Condominium,30584.15999,28021.20062
Private Condominium,30584.15999,28021.20062
Private Condominium,30584.15999,28021.20062
Private Condominium,33166.65187,33921.65774
Private Condominium,33166.65187,33921.65774
Private Condominium,33004.73735,34120.18844
Private Condominium,32801.6069,32748.18177
Private Condominium,32959.78725,33447.11082
Private Condominium,32986.60696,33569.78421
Private Condominium,29664.44192,27389.70716
Private Condominium,29664.441919999997,27389.70716
Private Condominium,29664.44192,27389.70716
Private Condominium,29664.44192,27389.70716
Private Condominium,33158.57766,33678.00361
Private Condominium,33158.57766,33678.00361
Private Condominium,32686.54487,33115.84106
Private Condominium,32686.54487,33115.84106
Private Condominium,32735.78271,34097.06844
Private Condominium,37230.17694,32992.56152
Private Condominium,33146.92538,35617.65644
Private Condominium,32814.22065,33953.69107
Private Condominium,39138.85239,29669.419340000004
Private Condominium,39138.85239,29669.41934
Private Condominium,39138.85239,29669.41934
Private Condominium,37709.64134,20082.35541
Private Condominium,32359.98734,35393.94047
Private Condominium,36124.63784,42367.89252
Private Condominium,36124.63784,42367.89252
Private Condominium,36331.20805,42457.04909
Private Condominium,36331.20805,42457.04909
Private Condominium,36757.79573,42151.03263
Private Condominium,36757.79573,42151.03263
Private Condominium,36757.79573,42151.03263
Private Condominium,37939.23056,20174.15207
Private Condominium,32406.3935,36044.04741
Private Condominium,30864.71209,27397.20101
Private Condominium,30864.71209,27397.20101
Private Condominium,33222.41558,24619.8969
Private Condominium,33215.23217,27538.68463
Private Condominium,32814.81074,27329.40548
Private Condominium,34036.78249,29986.08224
Private Condominium,33064.97166,34071.96992
Private Condominium,36926.13153,32984.79982
Private Condominium,36926.13153,32984.79982
Executive Condominium,40104.2301,21481.20633
Private Condominium,38817.0174295581,20929.7837604926
Private Condominium,36947.73494,31346.407170000002
Private Condominium,36947.73494,31346.40717
Private Condominium,33298.5247,27527.26874
Private Condominium,31222.77275,34065.91496
Private Condominium,31222.77275,34065.91496
Private Condominium,37390.94078,33108.09475
Private Condominium,33097.63185,33988.4326
Private Condominium,37151.02587,31553.478530000004
Private Condominium,37151.02587,31553.47853
Private Condominium,37151.02587,31553.47853
Private Condominium,33214.31908,30220.42209
Private Condominium,33214.31908,30220.42209
Private Condominium,33538.27509,29473.03796
Private Condominium,33538.27509,29473.03796
Private Condominium,31626.19122,31228.71456
Private Condominium,31626.191219999997,31228.71456
Private Condominium,31626.191219999997,31228.714560000004
Private Condominium,33032.54275,30606.18669
Private Condominium,33007.708,34689.79471
Private Condominium,34283.53496,31404.87321
Private Condominium,34283.53496,31404.87321
Private Condominium,32591.444849999996,30681.627699999997
Private Condominium,32591.444850000003,30681.6277
Private Condominium,32591.44485,30681.6277
Private Condominium,32591.44485,30681.6277
Private Condominium,32497.19844,30160.87996
Private Condominium,33719.03787,30107.34324
Executive Condominium,38005.0039,40004.2262
Executive Condominium,38005.0039,40004.2262
Executive Condominium,38005.0039,40004.2262
Private Condominium,32296.2003,31326.03628
Private Condominium,32296.2003,31326.03628
Private Condominium,32296.200300000004,31326.03628
Private Condominium,32296.2003,31326.03628
Private Condominium,33374.11064,30027.51398
Private Condominium,33374.11064,30027.51398
Private Condominium,32376.7934,28469.14079
Private Condominium,32376.7934,28469.14079
Private Condominium,30949.79545,28482.56904
Private Condominium,30949.79545,28482.56904
Private Condominium,34781.70305,20563.79552
Private Condominium,34781.70305,20563.79552
Private Condominium,34781.70305,20563.79552
Private Condominium,31003.25679,20760.90538
Private Condominium,31003.256790000003,20760.90538
Private Condominium,31003.25679,20760.90538
Private Condominium,31003.25679,20760.90538
Private Condominium,33337.25117,27530.10736
Private Condominium,31352.482889999996,27177.82189
Private Condominium,31352.48289,27177.82189
Private Condominium,38007.64571999999,29440.01287
Private Condominium,38007.64572,29440.012869999995
Private Condominium,33789.16099,25843.716
Private Condominium,33276.74456,30098.23264
Private Condominium,33276.74456,30098.23264
Private Condominium,40059.95143,41784.14624
Private Condominium,32421.27164,37471.81505
Private Condominium,32421.27164,37471.81505
Private Condominium,39287.30121,40583.16983
Private Condominium,39287.30121,40583.16983
Private Condominium,39287.30121,40583.16982999999
Private Condominium,39287.30121,40583.16983
Private Condominium,39287.30121,40583.16983
Private Condominium,30876.6778,25025.90066
Private Condominium,30876.6778,25025.90066
Private Condominium,30876.677799999998,25025.90066
Private Condominium,41543.29843,34991.97898
Private Condominium,41543.29843,34991.97898
Private Condominium,41543.29843,34991.97898
Private Condominium,41543.29843,34991.97898
Private Condominium,31396.43019,31185.089110000004
Private Condominium,31396.430189999995,31185.08911
Private Condominium,31396.43019,31185.08911
Private Condominium,31863.74738,36033.35851
Private Condominium,31863.74738,36033.35851
Private Condominium,27645.82523,26200.67803
Private Condominium,27645.82523,26200.67803
Private Condominium,27645.82523,26200.67803
Private Condominium,27645.82523,26200.67803
Private Condominium,33901.35694,24543.95561
Private Condominium,32438.01067,33317.93032
Private Condominium,32706.25656,39908.31907
Private Condominium,32706.256560000005,39908.31907
Private Condominium,32706.25656,39908.31907
Private Condominium,32736.47687,36475.62591
Private Condominium,31056.23099,31746.23374
Private Condominium,31056.23099,31746.23374
Private Condominium,31056.23099,31746.233740000003
Private Condominium,32773.6083,33909.03503
Private Condominium,33046.54001,33934.53435
Private Condominium,31457.43476,35828.19176
Private Condominium,31457.43476,35828.19176
Private Condominium,31457.43476,35828.19176
Private Condominium,38074.77957,27772.7735
Private Condominium,33757.03694,41485.91699
Private Condominium,33757.03694,41485.91699
Private Condominium,34107.09735,30299.34802
Private Condominium,28939.24582,29016.914769999996
Private Condominium,28939.24582,29016.91477
Private Condominium,32819.28139,38358.8023
Private Condominium,32848.32201,38345.47754
Private Condominium,29343.90694,22693.70527
Private Condominium,32625.49732,33164.27596
Private Condominium,31253.66122,33631.32284
Private Condominium,34502.03697,28907.88866
Private Condominium,34502.03697,28907.88866
Private Condominium,34502.03697,28907.88866
Private Condominium,31921.46989,27286.32322
Private Condominium,33270.63586,27620.82848
Private Condominium,33270.63586,27620.828480000004
Private Condominium,33270.63586,27620.828480000004
Private Condominium,33270.63586,27620.82848
Private Condominium,36321.8507,31839.56437
Private Condominium,33800.73877,36453.19591
Private Condominium,33800.73877,36453.19591
Private Condominium,34046.78486,29742.40817
Private Condominium,47312.08009,27118.60637
Private Condominium,32989.05896,29710.58232
Private Condominium,34468.90838,25604.7765
Private Condominium,32038.79308,36562.41327
Private Condominium,32038.79308,36562.41327
Private Condominium,33217.97124,28713.12026
Private Condominium,33578.32211,36762.07418
Private Condominium,33578.32211,36762.07418
Private Condominium,38017.06889,32607.4019
Private Condominium,33180.37027,24785.08379
Private Condominium,33180.37027,24785.08379
Private Condominium,33180.37027,24785.08379
Private Condominium,33180.37027,24785.08379
Private Condominium,34254.06967,30236.66058
Private Condominium,34422.53948,29831.6482
Private Condominium,34422.53948,29831.6482
Private Condominium,39132.10916,40573.41451
Private Condominium,39132.10916,40573.41451
Private Condominium,39132.10916,40573.41451
Private Condominium,39132.10916,40573.41451
Private Condominium,39132.10916,40573.41451
Private Condominium,37622.99176,33251.7816
Private Condominium,37622.99176,33251.7816
Private Condominium,33099.31914,34366.73219
Private Condominium,33099.31914,34366.73219
Private Condominium,33099.31914,34366.73219
Private Condominium,38936.724,33426.87484
Private Condominium,37896.20432,42666.03678
Private Condominium,37896.20432,42666.03678
Private Condominium,37896.20432,42666.03678
Private Condominium,35769.69706,21050.57955
Private Condominium,35769.69706,21050.57955
Private Condominium,36213.7944,31916.1506
Private Condominium,32082.5342,33989.9593
Private Condominium,32082.5342,33989.9593
Private Condominium,32082.5342,33989.9593
Private Condominium,32751.10811,34824.37884
Private Condominium,32494.71213,37136.97081
Private Condominium,32682.23316,24488.82247
Private Condominium,34027.316,29935.6626
Private Condominium,34503.47188,29764.18667
Private Condominium,34503.47188,29764.18667
Private Condominium,31149.66421,28515.03112
Private Condominium,31165.22032,28514.20542
Private Condominium,31165.22032,28514.20542
Private Condominium,31239.6316,28458.33083
Private Condominium,33074.48436,27095.21626
Private Condominium,30461.83428,27136.87236
Private Condominium,30461.83428,27136.87236
Private Condominium,30461.83428,27136.87236
Private Condominium,34221.4123,29361.83681
Private Condominium,34221.4123,29361.83681
Private Condominium,30732.19573,26668.88024
Private Condominium,29157.64612,28776.660309999996
Private Condominium,29157.64612,28776.66031
Private Condominium,35881.81374,41685.27997
Private Condominium,35881.81374,41685.27997
Private Condominium,32053.41723,22555.68498
Private Condominium,32053.41723,22555.68498
Private Condominium,32053.41723,22555.68498
Private Condominium,32639.1683,27865.437129999995
Private Condominium,32639.1683,27865.437129999995
Private Condominium,34109.85782,24631.99017
Private Condominium,34109.85782,24631.99017
Private Condominium,34065.71485,25137.61093
Private Condominium,34037.50116,24459.70139
Private Condominium,34037.50116,24459.70139
Private Condominium,32630.38866,24770.59587
Private Condominium,33757.00479,25593.8154
Private Condominium,34104.91264,25497.50147
Private Condominium,32470.98619,34955.64379
Private Condominium,32482.81781,35100.58679
Private Condominium,31272.19096,30722.23364
Private Condominium,31272.190959999996,30722.23364
Private Condominium,31272.19096,30722.23364
Private Condominium,36256.3451,31945.4059
Private Condominium,36256.3451,31945.4059
Private Condominium,32938.65993,37080.54446
Private Condominium,32945.13337,39834.61574
Private Condominium,32363.69343,36878.6995
Private Condominium,34548.40343,40401.31014
Private Condominium,34548.40343,40401.31014
Private Condominium,31733.56993,35346.95509
Private Condominium,32854.98688,38924.8103
Private Condominium,33885.75028,36503.62007
Private Condominium,32720.31669,38965.94991
Private Condominium,31802.16085,35815.06871
Private Condominium,31802.16085,35815.06871
Private Condominium,32832.43233,35955.63447
Private Condominium,34892.84579,40570.06691
Private Condominium,34892.84579,40570.06691
Private Condominium,32960.06734,36397.93005
Private Condominium,32922.84114,39274.52748
Private Condominium,32922.84114,39274.52748
Private Condominium,32922.84114,39274.52748
Private Condominium,33019.44896,36263.71545
Private Condominium,35627.04733,41033.09396
Private Condominium,35627.04733,41033.09396
Private Condominium,35627.04733,41033.09396
Executive Condominium,39630.3198,41337.77723
Private Condominium,33734.9285,41579.14942
Private Condominium,33837.89915,41503.23238
Private Condominium,33743.96198,41858.5362
Private Condominium,31227.93629,28773.54899
Private Condominium,30344.26262,26286.28759
Private Condominium,30344.26262,26286.28759
Private Condominium,30344.26262,26286.28759
Private Condominium,34018.0513,40451.92051
Private Condominium,34018.0513,40451.92051
Private Condominium,34018.0513,40451.92051
Private Condominium,34018.0513,40451.92051
Private Condominium,39198.77067,21582.39805
Private Condominium,39198.77067,21582.39805
Private Condominium,39198.77067,21582.39805
Executive Condominium,42506.75452,35087.77045
Executive Condominium,42506.75452,35087.77045
Private Condominium,37631.87747,42920.30771
Private Condominium,37631.87747,42920.30771
Private Condominium,36351.04104,32304.76887
Private Condominium,36273.98065,32361.86682
Private Condominium,36273.98065,32361.86682
Private Condominium,32726.16605,33583.21152
Private Condominium,32790.51361,33826.61292
Private Condominium,46726.30832999999,27737.82292
Private Condominium,46726.30833,27737.82292
Private Condominium,33768.57764,31447.44333
Private Condominium,33768.57764,31447.44333
Private Condominium,33768.57764,31447.443329999995
Private Condominium,32227.57707,35372.04922
Private Condominium,32199.7371,28359.77355
Private Condominium,32059.13773,28332.74474
Private Condominium,32059.13773,28332.74474
Private Condominium,32621.92134,38865.17182
Private Condominium,32621.92134,38865.17182
Private Condominium,31336.53952,33608.52484
Private Condominium,29342.38722,29457.22164
Private Condominium,29342.387219999997,29457.221639999996
Private Condominium,29342.387219999997,29457.221639999996
Private Condominium,31734.12643,28513.38529
Private Condominium,30271.27804,27646.914110000005
Private Condominium,30271.27804,27646.91411
Private Condominium,32645.59838,34963.83812
Private Condominium,31831.64197,29774.58077
Private Condominium,31831.64197,29774.58077
Private Condominium,35321.08658,20930.48198
Private Condominium,28475.31025,29441.68851
Private Condominium,28475.31025,29441.68851
Private Condominium,34587.17781,36929.95928
Private Condominium,38986.40883,20462.11667
Private Condominium,38986.40883,20462.11667
Private Condominium,31088.46593,28374.49343
Private Condominium,31088.46593,28374.49343
Private Condominium,34202.41275,28665.76136
Executive Condominium,40428.28628,34460.87998
Executive Condominium,40428.28628,34460.87998
Private Condominium,33301.53794,36829.0629
Private Condominium,32901.48881,34701.51202
Private Condominium,32901.48881,34701.51202
Private Condominium,38008.89133,42848.7526
Private Condominium,38008.89133,42848.7526
Private Condominium,38008.89133,42848.7526
Private Condominium,31653.99629,29568.24839
Private Condominium,32488.56935,34731.0726
Private Condominium,32488.56935,34731.0726
Private Condominium,34432.93746,36240.46696
Private Condominium,34432.93746,36240.46696
Private Condominium,34432.93746,36240.46696
Private Condominium,34432.93746,36240.46696
Private Condominium,33423.05717,36104.63791
Private Condominium,45277.36895,27026.62208
Private Condominium,45277.36895,27026.62208
Private Condominium,30731.05661,28459.13375
Private Condominium,32947.55875,35651.54756
Private Condominium,35436.60579,31809.5587
Private Condominium,35436.60579,31809.5587
Private Condominium,36944.71724,33082.76666
Private Condominium,33203.371,28638.10093
Private Condominium,39070.2053,35367.5571
Private Condominium,39070.2053,35367.5571
Private Condominium,32902.38441,35609.81462
Private Condominium,33188.07678,27678.01579
Private Condominium,33948.95006,19539.47449
Private Condominium,33948.95006,19539.47449
Private Condominium,33948.95006,19539.47449
Private Condominium,38375.07797,27661.35499
Private Condominium,32708.28919,24466.28159
Private Condominium,33699.44292,41633.20941
Private Condominium,40583.01464,28646.81266
Private Condominium,40583.01464,28646.81266
Private Condominium,32833.67075,30266.64405
